CustomerID,OrderID,Channel,PaymentType,Brand,Shop,Promotion,Sale price ,SaleDate,Reference
CTM10869,OTS341,Offline,Tiền mặt,Dell,Techcare,Có,10480000,30/11/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Phương tiện truyền thông (báo, tivi,...), Website"
CTM11013,OTS17077,Offline,Thẻ,MSI,Điện máy xanh,Không,13776000,3/3/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM11013,OTS25846,Offline,Tiền mặt,HP,Nguyễn Kim,Không,17924000,3/3/2020,Nhân viên cửa hàng bán Laptop
CTM11013,OTS33224,Online,Thẻ,HP,Viễn thông A,Có,4351000,17/8/2020,"Thông qua người thân, bạn bè"
CTM11016,OTS16484,Online,Thẻ,Acer,Điện máy xanh,Không,12301000,7/7/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM11016,OTS110,Online,Thẻ,Apple,FPT Shop,Không,23850000,7/11/2020,"Mạng xã hội, Website"
CTM11020,OTS914,Online,Thẻ,Acer,Thế giới di động,Có,13300000,16/7/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Website"
CTM11376,OTS117,Offline,Tiền mặt,Dell,Thế giới di động,Có,11710000,24/2/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM11476,OTS969,Online,Thẻ,Asus,FPT Shop,Không,14890000,12/9/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM11491,OTS902,Offline,Thẻ,HP,FPT Shop,Có,15230000,3/7/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...)"
CTM1154,OTS1013,Offline,Thẻ,HP,Viễn thông A,Có,13900000,18/5/2020,Nhờ người có chuyên môn tư vấn
CTM11567,OTS35168,Online,Thẻ,HP,Viễn thông A,Không,17081000,18/1/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM11567,OTS49793,Offline,Tiền mặt,HP,Viễn thông A,Không,3975000,19/1/2020,Nhân viên cửa hàng bán Laptop
CTM11567,OTS25191,Offline,Tiền mặt,Asus,Điện máy xanh,Không,8371000,12/6/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Phương tiện truyền thông (báo, tivi,...)"
CTM11667,OTS57,Offline,Tiền mặt,HP,Viễn thông A,Không,14560000,31/12/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Phương tiện truyền thông (báo, tivi,...)"
CTM11768,OTS94738,Online,Thẻ,MSI,Điện máy xanh,Có,38518530,9/4/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...)"
CTM11768,OTS788,Online,Thẻ,HP,Thế giới di động,Có,13430000,20/5/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM1205,OTS1084,Online,Thẻ,Asus,Thế giới di động,Có,6770000,22/6/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM12086,OTS808,Offline,Tiền mặt,Asus,Thế giới di động,Không,10900000,9/5/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM12086,OTS4026,Online,Thẻ,Asus,Nguyễn Kim,Không,13631000,15/6/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Phương tiện truyền thông (báo, tivi,...)"
CTM12086,OTS74537,Online,Thẻ,Asus,Phong Vũ,Không,55552872,23/8/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM12311,OTS529,Offline,Thẻ,Dell,Phong Vũ,Có,12170000,28/5/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM1232,OTS17242,Online,Thẻ,Asus,Phong Vũ,Có,12397000,29/1/2020,"Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM1232,OTS66543,Offline,Thẻ,Asus,Viễn thông A,Không,14334000,21/4/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM1232,OTS1010,Online,Thẻ,MSI,FPT Shop,Có,22530000,2/6/2020,Nhân viên cửa hàng bán Laptop
CTM12334,OTS884,Online,Thẻ,HP,FPT Shop,Có,12930000,26/3/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Website"
CTM1234,OTS12,Online,Thẻ,DellXPS,FPT Shop,Không,15500000,5/6/2020,
CTM12448,OTS5502,Online,Thẻ,HP,Phong Vũ,Không,9571000,22/5/2020,"Thông qua người thân, bạn bè"
CTM12448,OTS741,Online,Thẻ,Microsoft,Techcare,Không,14910000,12/6/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM12491,OTS512,Offline,Thẻ,,Thế giới di động,Không,14700000,10/12/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...)"
CTM12511,OTS954,Offline,Thẻ,Asus,Khác,Có,19750000,4/7/2020,"Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM12519,OTS739,Online,Thẻ,Asus,FPT Shop,Có,3680000,24/7/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM12519,OTS78253,Offline,Thẻ,Asus,Viễn thông A,Có,14684000,21/12/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Website"
CTM12588,OTS35856,Offline,Thẻ,HP,Điện máy xanh,Không,63714483,24/2/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM12588,OTS381,Online,Thẻ,Asus,Viễn thông A,Có,14710000,3/4/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM12588,OTS28637,Offline,Thẻ,MSI,Techcare,Không,12766000,3/12/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM12627,OTS28795,Online,Thẻ,Acer,Techcare,Không,21290000,27/1/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM12627,OTS59802,Online,Thẻ,Asus,Viễn thông A,Không,10784000,31/1/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM12627,OTS31,Online,Thẻ,Dell,Điện máy xanh,Có,10390000,8/6/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...), Website, Khác"
CTM12627,OTS66704,Offline,Thẻ,MSI,Viễn thông A,Không,12077000,12/11/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM12635,OTS453,Offline,Tiền mặt,Asus,Nguyễn Kim,Có,9710000,27/8/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM13167,OTS40,Online,Thẻ,Dell,Điện máy xanh,Có,14850000,28/6/2020,"Mạng xã hội, Website"
CTM13167,OTS77361,Offline,Thẻ,MSI,Viễn thông A,Có,18041000,16/9/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM13236,OTS95,Offline,Thẻ,Dell,Phi Long Technology,Có,16610000,27/4/2020,Website
CTM13282,OTS681,Offline,Tiền mặt,Asus,Viettel Store,Không,11720000,19/6/2020,Nhân viên cửa hàng bán Laptop
CTM13282,OTS35749,Offline,Thẻ,MSI,Viễn thông A,Có,11983000,13/12/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Website"
CTM13449,OTS478,Offline,Thẻ,Asus,Thế giới di động,Không,10690000,19/11/2020,"Thông qua người thân, bạn bè, Mạng xã hội, Website"
CTM13508,OTS153,Offline,Tiền mặt,Acer,Chợ Lớn,Có,11420000,18/9/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM13653,OTS928,Online,Thẻ,Asus,Điện máy xanh,Có,10370000,9/9/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM13664,OTS987,Online,Thẻ,Dell,Thế giới di động,Có,13250000,12/11/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM13664,OTS987,Online,Thẻ,Dell,Thế giới di động,Có,13250000,12/11/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM13762,OTS872,Offline,Tiền mặt,Dell,FPT Shop,Có,11010000,28/2/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM13762,OTS41456,Online,Thẻ,HP,Viễn thông A,Có,12542000,17/4/2020,"Nhờ người có chuyên môn tư vấn, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...), Website"
CTM13837,OTS54739,Online,Thẻ,HP,Điện máy xanh,Không,17385000,23/11/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM13837,OTS985,Online,Thẻ,Asus,Thế giới di động,Không,12150000,16/12/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM13837,OTS985,Online,Thẻ,Asus,Thế giới di động,Không,12150000,16/12/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM13887,OTS402,Offline,Tiền mặt,Dell,Điện máy xanh,Có,11680000,18/3/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM14049,OTS55749,Online,Thẻ,Acer,Phong Vũ,Không,22671000,5/4/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM14049,OTS292,Offline,Thẻ,Apple,Viettel Store,Không,22540000,18/10/2020,"Nhờ người có chuyên môn tư vấn, Website"
CTM14053,OTS290,Online,Thẻ,Microsoft,Viettel Store,Có,23700000,1/7/2020,Nhân viên cửa hàng bán Laptop
CTM14053,OTS3620,Offline,Tiền mặt,MSI,Nguyễn Kim,Không,0,3/12/2020,Nhờ người có chuyên môn tư vấn
CTM14121,OTS18435,Offline,Tiền mặt,MSI,Viễn thông A,Không,15520000,9/6/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM14121,OTS650,Online,Thẻ,Dell,Thế giới di động,Có,10660000,2/11/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM14184,OTS863,Online,Thẻ,Dell,Phong Vũ,Có,14860000,7/6/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM142,OTS888,Offline,Thẻ,Acer,FPT Shop,Có,13580000,3/8/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Website"
CTM14258,OTS17001,Offline,Thẻ,MSI,Viễn thông A,Không,14605000,14/1/2020,"Thông qua người thân, bạn bè, Mạng xã hội, Website"
CTM14258,OTS829,Online,Thẻ,Dell,FPT Shop,Có,18800000,30/4/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM14408,OTS538,Online,Thẻ,HP,FPT Shop,Không,12610000,7/7/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM1441,OTS415,Online,Thẻ,HP,Điện máy xanh,Không,17030000,30/1/2020,"Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM145,OTS867,Offline,Thẻ,Dell,Điện máy xanh,Không,18530000,26/2/2020,Nhân viên cửa hàng bán Laptop
CTM14696,,Offline,Tiền mặt,MSI,Techcare,Có,9852000,24/4/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Phương tiện truyền thông (báo, tivi,...)"
CTM14696,OTS738,Online,Thẻ,Asus,FPT Shop,Có,13580000,27/5/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Phương tiện truyền thông (báo, tivi,...)"
CTM14813,OTS44,Online,Thẻ,Lenovo,Thế giới di động,Không,14420000,16/5/2020,"Mạng xã hội, Phương tiện truyền thông (báo, tivi,...)"
CTM15043,OTS203,Offline,Thẻ,HP,FPT Shop,Không,12070000,1/12/2020,Mạng xã hội
CTM15082,OTS18127,Offline,Tiền mặt,Asus,Techcare,Có,21296000,5/6/2020,"Thông qua người thân, bạn bè"
CTM15171,OTS81057,Online,Thẻ,MSI,Techcare,Có,19189000,20/6/2020,Mạng xã hội
CTM15171,OTS837,Online,Thẻ,Apple,Viettel Store,Không,11270000,6/11/2020,Mạng xã hội
CTM15260,OTS603,Online,Thẻ,Asus,Điện máy xanh,Có,10130000,27/1/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...)"
CTM15327,OTS825,Online,Thẻ,Apple,Khác,Không,22400000,14/4/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM15333,OTS314,Online,Thẻ,Dell,FPT Shop,Có,16440000,4/9/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM15426,OTS90140,Online,Thẻ,Asus,Nguyễn Kim,Có,9645000,4/3/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM15426,OTS7899,Offline,Tiền mặt,MSI,Nguyễn Kim,Không,13199000,16/3/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM15426,OTS2,Online,Thẻ,Asus,FPT Shop,Có,12010000,26/8/2020,"Mạng xã hội, Phương tiện truyền thông (báo, tivi,...), Website"
CTM15464,OTS25095,Offline,Thẻ,MSI,Techcare,Không,13694000,23/3/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM15464,OTS310,Online,Thẻ,Dell,Phong Vũ,Có,19320000,10/11/2020,"Nhờ người có chuyên môn tư vấn, Mạng xã hội, Website"
CTM15464,OTS19356,Offline,Thẻ,Acer,Techcare,Không,10404000,13/11/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM15674,OTS54,Online,Thẻ,HP,Điện máy xanh,Có,16320000,25/4/2020,Nhân viên cửa hàng bán Laptop
CTM15688,OTS627,Online,Thẻ,HP,Thế giới di động,Không,10820000,10/2/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM15703,OTS906,Online,Thẻ,Dell,FPT Shop,Có,17120000,7/1/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...)"
CTM15751,OTS21553,Online,Thẻ,HP,Phong Vũ,Có,13845000,17/9/2020,Nhân viên cửa hàng bán Laptop
CTM15751,OTS277,Online,Thẻ,Dell,FPT Shop,Không,20810000,13/12/2020,"Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM15835,OTS209,Offline,Tiền mặt,Asus,FPT Shop,Không,12780000,24/3/2020,Nhân viên cửa hàng bán Laptop
CTM15919,OTS252,Offline,Thẻ,Apple,Khác,Có,20020000,8/5/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM16182,OTS386,Offline,Thẻ,Dell,Thế giới di động,Có,11500000,13/7/2020,"Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM1634,OTS904,Offline,Tiền mặt,Asus,FPT Shop,Có,12800000,11/11/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM16527,OTS278,Offline,Tiền mặt,HP,Nguyễn Kim,Không,20000000,11/8/2020,"Thông qua người thân, bạn bè"
CTM16593,OTS398,Online,Thẻ,Microsoft,FPT Shop,Có,20460000,28/3/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM1676,OTS254,Offline,Thẻ,Dell,Thế giới di động,Có,11550000,27/11/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội, Website"
CTM16782,OTS1060,Online,Thẻ,HP,Điện máy xanh,Không,16280000,23/7/2020,"Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM16880,OTS523,Offline,Thẻ,Dell,Phong Vũ,Có,18890000,16/8/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM17010,OTS750,Online,Thẻ,Acer,Techcare,Không,7090000,22/12/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM17043,OTS1053,Online,Thẻ,Asus,Thế giới di động,Có,16450000,20/2/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Website"
CTM17102,OTS318,Online,Thẻ,Asus,FPT Shop,Không,14390000,25/11/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM17109,OTS169,Offline,Tiền mặt,Asus,FPT Shop,Có,4420000,26/10/2020,Nhân viên cửa hàng bán Laptop
CTM17226,OTS224,Offline,Tiền mặt,Lenovo,Điện máy xanh,Không,15810000,21/11/2020,"Thông qua người thân, bạn bè, Mạng xã hội"
CTM17242,OTS975,Offline,Thẻ,Dell,FPT Shop,Có,11990000,2/5/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM17317,OTS38375,Online,Thẻ,HP,Techcare,Không,14350000,14/2/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM17317,OTS505,Offline,Thẻ,Acer,Điện máy xanh,Có,12460000,16/6/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM17342,OTS769,Offline,Thẻ,Acer,Thế giới di động,Không,10010000,30/10/2020,"Thông qua người thân, bạn bè, Mạng xã hội, Website"
CTM17479,OTS77,Offline,Tiền mặt,Dell,Techcare,Có,13250000,25/2/2020,"Thông qua người thân, bạn bè"
CTM17585,OTS86,Online,Thẻ,Dell,Phong Vũ,Có,11210000,26/5/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM17649,OTS9764,Online,Thẻ,MSI,Nguyễn Kim,Có,9227000,3/4/2020,Mạng xã hội
CTM17649,OTS774,Online,Thẻ,Asus,Thế giới di động,Có,10670000,17/10/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM17713,OTS1018,Online,Thẻ,HP,Thế giới di động,Có,17780000,21/8/2020,Nhờ người có chuyên môn tư vấn
CTM17781,OTS964,Online,Thẻ,HP,Phi Long Technology,Có,12990000,15/12/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM18035,OTS526,Online,Thẻ,HP,Techcare,Có,18660000,11/5/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM18038,OTS532,Offline,Thẻ,Lenovo,Techcare,Có,12920000,11/8/2020,"Nhân viên cửa hàng bán Laptop, Mạng xã hội, Website"
CTM18051,OTS226,Online,Thẻ,Dell,Khác,Không,12850000,21/4/2020,"Thông qua người thân, bạn bè"
CTM18106,OTS542,Online,Thẻ,Dell,Khác,Có,9130000,6/1/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM18160,OTS859,Offline,Tiền mặt,Lenovo,Điện máy xanh,Có,14380000,12/8/2020,Nhờ người có chuyên môn tư vấn
CTM18385,OTS248,Online,Thẻ,Asus,Điện máy xanh,Có,11640000,23/8/2020,"Thông qua người thân, bạn bè, Mạng xã hội, Website"
CTM18407,OTS92417,Online,Thẻ,MSI,Điện máy xanh,Có,40269721,15/2/2020,"Nhân viên cửa hàng bán Laptop, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...), Website"
CTM18407,OTS265,Online,Thẻ,Dell,Thế giới di động,Có,12680000,28/6/2020,"Thông qua người thân, bạn bè"
CTM18579,OTS23945,Offline,Thẻ,MSI,Techcare,Có,3695000,27/1/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Phương tiện truyền thông (báo, tivi,...)"
CTM18579,OTS332,Offline,Tiền mặt,Asus,Techcare,Có,14470000,28/8/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Website"
CTM18644,OTS30795,Online,Thẻ,Asus,,Có,13105000,14/6/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Phương tiện truyền thông (báo, tivi,...)"
CTM18644,OTS97616,Online,Thẻ,Acer,Viễn thông A,Không,19771000,17/6/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM18644,OTS1031,Offline,Thẻ,Asus,Thế giới di động,Có,10860000,5/7/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM18679,OTS852,Online,Thẻ,Asus,FPT Shop,Không,16610000,26/11/2020,"Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM18738,OTS625,Online,Thẻ,Acer,Khác,Không,4990000,19/2/2020,"Thông qua người thân, bạn bè"
CTM18747,OTS3830,Offline,Tiền mặt,Acer,Điện máy xanh,Có,17512000,25/8/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM18747,OTS129,Online,Thẻ,Asus,Nguyễn Kim,Không,18180000,31/12/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Website"
CTM18845,OTS26885,Online,Thẻ,MSI,Viễn thông A,Không,10724000,11/6/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM18845,OTS499,Offline,Thẻ,Asus,FPT Shop,Có,13060000,21/8/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM18888,OTS339,Online,Thẻ,Apple,Thế giới di động,Có,24320000,4/9/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM19062,OTS631,Offline,Tiền mặt,Dell,FPT Shop,Có,12610000,10/12/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM19083,OTS1088,Offline,Thẻ,HP,Điện máy xanh,Không,15090000,28/12/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM19117,OTS370,Online,Thẻ,Dell,Viettel Store,Có,16150000,4/6/2020,"Thông qua người thân, bạn bè, Mạng xã hội, Website"
CTM19189,OTS10565,Online,Thẻ,Acer,Điện máy xanh,Có,6497000,5/9/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM19189,OTS5608,Offline,Thẻ,MSI,Điện máy xanh,Có,5738000,11/11/2020,"Thông qua người thân, bạn bè, Mạng xã hội, Website"
CTM19189,OTS493,Offline,Thẻ,Dell,Viettel Store,Có,18690000,27/12/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM1925,OTS183,Offline,Tiền mặt,HP,Điện máy xanh,Không,16320000,5/7/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...), Website"
CTM19428,OTS708,Offline,Tiền mặt,Dell,Techcare,Có,10320000,31/12/2020,"Nhờ người có chuyên môn tư vấn, Mạng xã hội, Website"
CTM19487,OTS751,Online,Thẻ,HP,Khác,Không,4990000,29/7/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM19582,OTS96150,Offline,Tiền mặt,Acer,Phong Vũ,Có,13587000,28/1/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...), Website"
